"LATITUDE","LONGITUDE"
66.4873,-157.7888
61.65,-159.65
34.68176253,-98.59010782
61.12056,-163.17111
67.2833,-143.3
64.3661,-154.7586
64.9833333,-153.55
66.6853,-146.2597
61.27507,-162.92148
65.80116239,-153.4700711
64.9667,-154.5833
63.0333,-162.9833
58.864027,-156.38625
62.624555,-157.59775
61.186833,-154.635666
62.773611,-157.282194
64.364166,-149.006833
63.587333,-142.044833
61.361111,-155.807027
41.54406,-101.4276
26.3499,-80.7552
31.11166667,-100.4421
44.31917,-118.1025
44.505,-117.64306
44.237,-118.9927
30.8659784,-94.80398
30.78083333,-99.0155
37,-97
30.5246,-100.38895
45.0697,-99.8211
44.8346,-117.2206
45.6561,-109.1142
43.78567103,-115.9859223
34.800667,-104.095556
45.7807,-107.1567
30.005,-100.3911667
45.9221,-111.4225
46.0714,-118.127
